59345,60343,59907,58208,57466,55604,56083,53827,54930,53815,54023,53396,54874,55286,56681,58270,59450,59672,61747,63296,70549,74577,80677,84442,86575,83623,78350,74219,74449,71864,72838,74030,72687,73715,74440,73638,73797,73555,76528,76456,78571,82956,84632,86609,89520,83615
63352,59032,60079,59612,57879,57151,55365,55885,53589,54673,53573,53738,53117,54607,55021,56429,57985,59172,59389,61485,63060,70262,74318,80354,84148,86422,83401,78070,73994,74165,71640,72578,73800,72356,73449,74186,73425,73655,73414,76363,76264,78320,82748,84480,86555,89569
65333,63025,58748,59755,59310,57495,56777,55120,55625,53293,54384,53315,53489,52833,54356,54755,56191,57714,58892,59089,61190,62779,69979,74085,80026,83919,86116,83059,77794,73717,73905,71391,72312,73490,72070,73173,73966,73213,73480,73151,76131,76009,78091,82579,84374,86524
56354,64902,62677,58399,59428,58896,57148,56466,54811,55306,52978,54084,52982,53173,52543,54071,54464,55888,57356,58598,58776,60876,62466,69678,73739,79838,83549,85842,82694,77483,73406,73547,71106,71992,73208,71726,72944,73675,73008,73255,72913,75860,75819,77902,82413,84268
58317,55966,64530,62292,58015,58998,58547,56778,56129,54471,54944,52655,53715,52642,52813,52203,53759,54077,55520,56996,58287,58473,60586,62166,69354,73480,79496,83109,85464,82340,77123,73082,73202,70805,71644,72898,71373,72650,73471,72749,72997,72646,75605,75621,77725,82244
56402,57899,55594,64099,61857,57539,58584,58168,56424,55763,54063,54543,52262,53331,52296,52450,51882,53389,53724,55164,56651,57958,58149,60295,61817,69109,73091,79092,82650,85062,81927,76769,72691,72849,70433,71269,72529,71052,72354,73155,72401,72731,72384,75360,75418,77537
56358,56015,57496,55213,63660,61338,57054,58136,57736,56008,55327,53628,54143,51876,52888,51890,52025,51442,53016,53324,54823,56278,57642,57838,59971,61570,68697,72704,78638,82174,84638,81468,76296,72256,72446,70050,70929,72167,70797,71987,72783,72031,72471,72034,75167,75201
55435,55897,55573,57053,54697,63125,60807,56588,57667,57251,55561,54845,53195,53678,51451,52435,51486,51584,50974,52562,52892,54433,55877,57257,57429,59730,61225,68300,72272,78127,81680,84139,81001,75873,71862,72022,69661,70561,71795,70362,71575,72390,71700,72234,71738,74921
57907,55015,55435,55088,56577,54190,62540,60289,56103,57124,56692,55067,54359,52714,53217,51019,51939,50981,51092,50493,52126,52478,54033,55520,56834,57114,59357,60797,67873,71756,77590,81136,83634,80474,75387,71456,71583,69241,70214,71338,69951,71144,71965,71362,71921,71502
57632,57370,54527,54911,54520,55965,53641,61952,59718,55547,56578,56135,54536,53830,52199,52651,50493,51394,50501,50607,49986,51665,52049,53604,55040,56520,56693,58905,60354,67344,71250,76993,80557,83022,79970,74952,71006,71094,68850,69775,70850,69514,70706,71558,71035,71602
58121,57032,56835,53898,54344,53937,55398,53066,61307,59041,54911,55925,55556,53952,53276,51614,52106,49924,50881,49906,50037,49451,51154,51572,53141,54615,56040,56223,58465,59869,66792,70694,76393,79919,82437,79418,74442,70490,70646,68357,69330,70381,69060,70307,71167,70664
56376,57435,56377,56241,53280,53733,53288,54788,52451,60607,58286,54206,55261,54916,53338,52652,51003,51477,49359,50306,49337,49498,48910,50612,51055,52711,54088,55627,55710,57952,59309,66176,70041,75723,79320,81821,78806,73850,70014,70172,67837,68814,69950,68585,69920,70785
